name,sector_label,side,institution,institution_source,safety_tenure,leads_work,works_total,papers,posts,strong_works,confidence,citations,post_score,af_posts,tier,first_year,last_year,cluster_name,topics,sources,openalex_id,lw_slug,top_1,top_1_url,top_2,top_2_url,top_3,top_3_url,recent_1,recent_1_url
Steven Byrnes,Safety non-profit or safety venture,safety_ecosystem,Astera,bio phrase,mid,0,53,0,53,53,high,0,5037,46,25+ works,2019,2026,"Existential, Timelines, Superintelligence",Corrigibility; AI risk; Forecasting & timelines; Inner alignment; Communication; Debate & oversight; Deception & scheming; Containment,lesswrong,,steve2152,"6 reasons why “alignment-is-hard” discourse seems alien to human intuitions, and vice-versa",https://www.lesswrong.com/posts/d4HNRdw6z7Xqbnu5E/6-reasons-why-alignment-is-hard-discourse-seems-alien-to,Foom & Doom 1: “Brain in a box in a basement”,https://www.lesswrong.com/posts/yew6zFWAKG4AGs3Wk/foom-and-doom-1-brain-in-a-box-in-a-basement,“Sharp Left Turn” discourse: An opinionated review,https://www.lesswrong.com/posts/2yLyT6kB7BQvTfEuZ/sharp-left-turn-discourse-an-opinionated-review,"Pretraining data, not verifiability, is why LLMs are especially good at math (and coding)",https://www.lesswrong.com/posts/xvdngZAqFZfek7KGH/pretraining-data-not-verifiability-is-why-llms-are
Ryan Greenblatt,Safety non-profit or safety venture,safety_ecosystem,Redwood Research,bio mention,early,0,51,4,47,50,high,70,6054,37,25+ works,2023,2025,"Existential, Timelines, Superintelligence",Adversarial Robustness in Machine Learning; Topic Modeling; Anomaly Detection Techniques and Applications; Ethics and Social Impacts of AI; Natural Language Processing Techniques; Safety Systems Engineering in Autonomy; Software Reliability and Analysis Research; AI control,lesswrong; openalex,https://openalex.org/A5037548279,ryan_greenblatt,Current AIs seem pretty misaligned to me,https://www.lesswrong.com/posts/WewsByywWNhX9rtwi/current-ais-seem-pretty-misaligned-to-me,AI 2040: Plan A,https://www.lesswrong.com/posts/pFzctpJBat95SrCyC/ai-2040-plan-a,Alignment Faking in Large Language Models,https://www.lesswrong.com/posts/njAZwT8nkHnjipJku/alignment-faking-in-large-language-models,AI 2040: Plan A,https://www.lesswrong.com/posts/pFzctpJBat95SrCyC/ai-2040-plan-a
Marius Hobbhahn,Safety non-profit or safety venture,safety_ecosystem,Apollo Research,bio mention,established,4,50,6,44,48,high,39,3552,36,25+ works,2023,2025,"Deliberative, Enables, Chain-Of-Thought",Anomaly Detection Techniques and Applications; Teaching and Learning Programming; Software Engineering Techniques and Practices; Systems Engineering Methodologies and Applications; Simulation Techniques and Applications; Stock Market Forecasting Methods; Topic Modeling; Advanced Malware Detection Techniques,lesswrong; openalex,https://openalex.org/A5034914617,marius-hobbhahn,What’s the short timeline plan?,https://www.lesswrong.com/posts/bb5Tnjdrptu89rcyY/what-s-the-short-timeline-plan,Announcing Apollo Research,https://www.lesswrong.com/posts/FG6icLPKizEaWHex5/announcing-apollo-research,Lessons learned from talking to >100 academics about AI safety,https://www.lesswrong.com/posts/SqjQFhn5KTarfW8v7/lessons-learned-from-talking-to-greater-than-100-academics,Constitutional Black-Box Monitoring for Scheming in LLM Agents,https://www.lesswrong.com/posts/894KvMQcMQQnteYk8/constitutional-black-box-monitoring-for-scheming-in-llm
abramdemski,No affiliation on indexed works,other,,,established,0,49,0,49,49,high,0,3700,41,25+ works,2017,2026,"Existential, Timelines, Superintelligence",Decision theory; Embedded agency; Agent foundations; Inner alignment; Forecasting & timelines; Agency & goals; Debate & oversight; AI control,lesswrong,,abramdemski,"Leaving MIRI, Seeking Funding",https://www.lesswrong.com/posts/SnaAYrqkb7fzpZn86/leaving-miri-seeking-funding,Embedded Agents,https://www.lesswrong.com/posts/p7x32SEt43ZMC9r7r/embedded-agents,Embedded Agency (full-text version),https://www.lesswrong.com/posts/i3BTagvt3HbPMx6PN/embedded-agency-full-text-version,Coherent Care,https://www.lesswrong.com/posts/CDkbYSFTwggGE8mWp/coherent-care
Christopher King,No affiliation on indexed works,other,,,early,0,48,0,48,48,high,0,727,1,25+ works,2023,2026,"Existential, Timelines, Superintelligence",AI risk; Decision theory; Existential risk; Agency & goals; Evaluations; Communication; Corrigibility,lesswrong,,christopher-king,ARC tests to see if GPT-4 can escape human control; GPT-4 failed to do so,https://www.lesswrong.com/posts/NQ85WRcLkjnTudzdg/arc-tests-to-see-if-gpt-4-can-escape-human-control-gpt-4,The way AGI wins could look very stupid,https://www.lesswrong.com/posts/BY8fBKR6sjiPXRBia/the-way-agi-wins-could-look-very-stupid,"Formalizing the ""AI x-risk is unlikely because it is ridiculous"" argument",https://www.lesswrong.com/posts/zxanhCijprzDo2Tgn/formalizing-the-ai-x-risk-is-unlikely-because-it-is,AI lab employees should consider a strike before it's too late!,https://www.lesswrong.com/posts/TyNqr6aseb6TT5KyY/ai-lab-employees-should-consider-a-strike-before-it-s-too
Daniel Kokotajlo,Safety non-profit or safety venture,safety_ecosystem,AI Impacts,bio mention,early,0,46,4,42,46,high,71,5229,26,25+ works,2023,2025,"Existential, Timelines, Superintelligence",Anomaly Detection Techniques and Applications; Software Engineering Research; Software Reliability and Analysis Research; Information and Cyber Security; Topic Modeling; Natural Language Processing Techniques; Speech and dialogue systems; Safety Systems Engineering in Autonomy,lesswrong; openalex,https://openalex.org/A5051966605,daniel-kokotajlo,AI 2027: What Superintelligence Looks Like,https://www.lesswrong.com/posts/TpSFoqoG2M5MAAesg/ai-2027-what-superintelligence-looks-like-1,What 2026 looks like,https://www.lesswrong.com/posts/6Xgy6CAf2jqHhynHL/what-2026-looks-like,AI 2040: Plan A,https://www.lesswrong.com/posts/pFzctpJBat95SrCyC/ai-2040-plan-a,Q2.5 2026 Timelines Update: Uplift and Revenue,https://www.lesswrong.com/posts/ZPSsmRH5oMwLPXys4/q2-5-2026-timelines-update-uplift-and-revenue
Zvi,No affiliation on indexed works,other,,,established,0,44,0,44,44,high,0,3613,0,25+ works,2017,2026,"Existential, Timelines, Superintelligence",AI governance; AI risk; Decision theory; Forecasting & timelines; Deception & scheming; Chain of thought; Existential risk,lesswrong,,zvi,On AutoGPT,https://www.lesswrong.com/posts/566kBoPi76t8KAkoD/on-autogpt,OpenAI: Fallout,https://www.lesswrong.com/posts/YwhgHwjaBDmjgswqZ/openai-fallout,AI #1: Sydney and Bing,https://www.lesswrong.com/posts/WkchhorbLsSMbLacZ/ai-1-sydney-and-bing,Opus 4.8 Part 2: Model Welfare,https://www.lesswrong.com/posts/2Ln5G6Jso3fMrgPEv/opus-4-8-part-2-model-welfare
johnswentworth,No affiliation on indexed works,other,,,mid,0,38,0,38,38,high,0,5104,26,25+ works,2019,2025,"Existential, Timelines, Superintelligence",AI risk; Agent foundations; Corrigibility; Inner alignment; Field-building; Embedded agency; AI governance; AI control,lesswrong,,johnswentworth,The Case Against AI Control Research,https://www.lesswrong.com/posts/8wBN8cdNAv3c7vt6p/the-case-against-ai-control-research,"The Field of AI Alignment: A Postmortem, and What To Do About It",https://www.lesswrong.com/posts/nwpyhyagpPYDn4dAW/the-field-of-ai-alignment-a-postmortem-and-what-to-do-about,Why Agent Foundations? An Overly Abstract Explanation,https://www.lesswrong.com/posts/FWvzwCDRgcjb9sigb/why-agent-foundations-an-overly-abstract-explanation,Status Is The Game Of The Losers' Bracket,https://www.lesswrong.com/posts/a3K9LEW7WZhr2nHMh/status-is-the-game-of-the-losers-bracket
Thane Ruthenis,No affiliation on indexed works,other,,,early,0,36,0,36,36,high,0,2354,22,25+ works,2022,2025,"Existential, Timelines, Superintelligence",AI risk; Inner alignment; Agency & goals; Agent foundations; Field-building; AI governance; Embedded agency,lesswrong,,thane-ruthenis,A Bear Case: My Predictions Regarding AI Progress,https://www.lesswrong.com/posts/oKAFFvaouKKEhbBPm/a-bear-case-my-predictions-regarding-ai-progress,"""Humanity vs. AGI"" Will Never Look Like ""Humanity vs. AGI"" to Humanity",https://www.lesswrong.com/posts/xSJMj3Hw3D7DPy5fJ/humanity-vs-agi-will-never-look-like-humanity-vs-agi-to,Most People Don't Realize We Have No Idea How Our AIs Work,https://www.lesswrong.com/posts/CpjTJtW2RNKvzAehG/most-people-don-t-realize-we-have-no-idea-how-our-ais-work,"Synthesizing Standalone World-Models, Part 4: Metaphysical Justifications",https://www.lesswrong.com/posts/gR96ANcNXQgh22qtG/synthesizing-standalone-world-models-part-4-metaphysical
evhub,Frontier / capabilities lab,frontier_capabilities,Anthropic,bio mention,mid,0,36,0,36,36,high,0,3909,36,25+ works,2019,2025,"Existential, Timelines, Superintelligence",Deception & scheming; Inner alignment; AI risk; Evaluations; Debate & oversight; Decision theory; Corrigibility,lesswrong,,evhub,Alignment Faking in Large Language Models,https://www.lesswrong.com/posts/njAZwT8nkHnjipJku/alignment-faking-in-large-language-models,Model Organisms of Misalignment: The Case for a New Pillar of Alignment Research,https://www.lesswrong.com/posts/ChDH335ckdvpxXaXX/model-organisms-of-misalignment-the-case-for-a-new-pillar-of-1,An overview of 11 proposals for building safe advanced AI,https://www.lesswrong.com/posts/fRsjBseRuvRhMPPE5/an-overview-of-11-proposals-for-building-safe-advanced-ai,Towards training-time mitigations for alignment faking in RL,https://www.lesswrong.com/posts/czMaDFGAbjhWYdKmo/towards-training-time-mitigations-for-alignment-faking-in-rl
